Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
4.15801;Origin: (0.259, 1.579, 0.334), Dir: (-0.023, 0.090, 0.996);Origin: (0.197, 1.582, 0.324), Dir: (-0.420, 0.357, 0.835);(0.228, 1.580, 0.329);(-0.183, -0.079, -0.033, 0.979);
4.18443;Origin: (0.258, 1.579, 0.335), Dir: (-0.023, 0.090, 0.996);Origin: (0.196, 1.582, 0.325), Dir: (-0.419, 0.357, 0.835);(0.227, 1.580, 0.330);(-0.183, -0.079, -0.033, 0.979);
4.24913;Origin: (0.257, 1.579, 0.337), Dir: (-0.023, 0.090, 0.996);Origin: (0.195, 1.582, 0.326), Dir: (-0.419, 0.357, 0.835);(0.226, 1.580, 0.331);(-0.183, -0.079, -0.033, 0.979);
4.27172;Origin: (0.257, 1.579, 0.338), Dir: (-0.023, 0.091, 0.996);Origin: (0.195, 1.582, 0.327), Dir: (-0.420, 0.358, 0.834);(0.226, 1.581, 0.333);(-0.183, -0.079, -0.032, 0.979);
4.30014;Origin: (0.256, 1.580, 0.339), Dir: (-0.026, 0.094, 0.995);Origin: (0.194, 1.582, 0.328), Dir: (-0.423, 0.360, 0.832);(0.225, 1.581, 0.334);(-0.185, -0.081, -0.032, 0.979);
4.36611;Origin: (0.257, 1.580, 0.338), Dir: (-0.028, 0.096, 0.995);Origin: (0.195, 1.582, 0.327), Dir: (-0.425, 0.362, 0.830);(0.226, 1.581, 0.332);(-0.186, -0.082, -0.032, 0.979);
4.44165;Origin: (0.257, 1.580, 0.336), Dir: (-0.031, 0.098, 0.995);Origin: (0.195, 1.582, 0.325), Dir: (-0.427, 0.363, 0.828);(0.226, 1.581, 0.331);(-0.187, -0.083, -0.032, 0.978);
4.48850;Origin: (0.257, 1.581, 0.336), Dir: (-0.040, 0.106, 0.994);Origin: (0.195, 1.583, 0.325), Dir: (-0.435, 0.369, 0.821);(0.226, 1.582, 0.330);(-0.191, -0.088, -0.032, 0.977);
4.50918;Origin: (0.258, 1.581, 0.334), Dir: (-0.051, 0.112, 0.992);Origin: (0.196, 1.583, 0.322), Dir: (-0.444, 0.373, 0.814);(0.227, 1.582, 0.328);(-0.193, -0.093, -0.032, 0.976);
4.54161;Origin: (0.258, 1.582, 0.333), Dir: (-0.053, 0.118, 0.992);Origin: (0.196, 1.583, 0.320), Dir: (-0.447, 0.376, 0.812);(0.227, 1.582, 0.326);(-0.196, -0.095, -0.029, 0.976);
4.60374;Origin: (0.258, 1.582, 0.332), Dir: (-0.054, 0.123, 0.991);Origin: (0.197, 1.583, 0.319), Dir: (-0.450, 0.378, 0.809);(0.228, 1.583, 0.326);(-0.199, -0.096, -0.026, 0.975);
4.62415;Origin: (0.259, 1.583, 0.331), Dir: (-0.055, 0.136, 0.989);Origin: (0.197, 1.583, 0.319), Dir: (-0.453, 0.385, 0.804);(0.228, 1.583, 0.325);(-0.204, -0.096, -0.021, 0.974);
4.65427;Origin: (0.259, 1.584, 0.332), Dir: (-0.057, 0.180, 0.982);Origin: (0.197, 1.583, 0.320), Dir: (-0.461, 0.411, 0.787);(0.228, 1.584, 0.326);(-0.226, -0.099, -0.008, 0.969);
4.68193;Origin: (0.259, 1.584, 0.333), Dir: (-0.062, 0.197, 0.979);Origin: (0.197, 1.582, 0.320), Dir: (-0.467, 0.420, 0.778);(0.228, 1.583, 0.326);(-0.234, -0.101, -0.002, 0.967);
4.71051;Origin: (0.259, 1.584, 0.332), Dir: (-0.066, 0.203, 0.977);Origin: (0.197, 1.581, 0.319), Dir: (-0.472, 0.422, 0.774);(0.228, 1.583, 0.325);(-0.237, -0.103, 0.001, 0.966);
4.77811;Origin: (0.259, 1.585, 0.330), Dir: (-0.070, 0.202, 0.977);Origin: (0.198, 1.581, 0.317), Dir: (-0.476, 0.421, 0.772);(0.228, 1.583, 0.324);(-0.237, -0.105, 0.001, 0.966);
4.79811;Origin: (0.260, 1.585, 0.328), Dir: (-0.071, 0.199, 0.977);Origin: (0.198, 1.582, 0.315), Dir: (-0.476, 0.419, 0.773);(0.229, 1.583, 0.322);(-0.235, -0.106, 0.000, 0.966);
4.82396;Origin: (0.260, 1.583, 0.326), Dir: (-0.069, 0.191, 0.979);Origin: (0.198, 1.581, 0.313), Dir: (-0.472, 0.417, 0.777);(0.229, 1.582, 0.320);(-0.231, -0.105, -0.005, 0.967);
4.85330;Origin: (0.261, 1.582, 0.326), Dir: (-0.064, 0.185, 0.981);Origin: (0.199, 1.580, 0.314), Dir: (-0.466, 0.415, 0.781);(0.230, 1.581, 0.320);(-0.228, -0.102, -0.008, 0.968);
4.88362;Origin: (0.261, 1.582, 0.331), Dir: (-0.059, 0.179, 0.982);Origin: (0.199, 1.580, 0.319), Dir: (-0.462, 0.411, 0.786);(0.230, 1.581, 0.325);(-0.225, -0.100, -0.009, 0.969);
4.94687;Origin: (0.261, 1.582, 0.332), Dir: (-0.056, 0.175, 0.983);Origin: (0.200, 1.580, 0.319), Dir: (-0.459, 0.408, 0.789);(0.231, 1.581, 0.325);(-0.224, -0.098, -0.009, 0.970);
4.97101;Origin: (0.262, 1.583, 0.333), Dir: (-0.054, 0.174, 0.983);Origin: (0.200, 1.581, 0.320), Dir: (-0.457, 0.409, 0.790);(0.231, 1.582, 0.326);(-0.223, -0.097, -0.010, 0.970);
4.99713;Origin: (0.266, 1.582, 0.336), Dir: (-0.054, 0.173, 0.984);Origin: (0.204, 1.581, 0.324), Dir: (-0.454, 0.412, 0.790);(0.235, 1.581, 0.330);(-0.223, -0.097, -0.016, 0.970);
5.02478;Origin: (0.269, 1.581, 0.337), Dir: (-0.051, 0.165, 0.985);Origin: (0.208, 1.581, 0.325), Dir: (-0.449, 0.411, 0.794);(0.239, 1.581, 0.331);(-0.219, -0.095, -0.022, 0.971);
